7 7
478 664 153 268 500 997 991 
903 762 253 590 868 842 682 
707 409 87 351 565 496 251 
485 564 114 584 413 863 22 
388 307 545 585 972 417 572 
192 415 565 814 178 537 405 
765 380 806 193 509 893 263 

75 110 514 280 674 629 864 
806 212 886 913 519 432 500 
492 569 791 403 984 76 218 
882 333 342 648 713 150 560 
941 762 824 736 591 339 17 
266 687 600 74 899 487 987 
420 638 207 631 208 718 36 

912 794 972 514 128 316 881 
561 185 443 222 666 268 677 
259 326 413 244 15 14 37 
914 220 744 54 859 951 686 
786 389 441 418 903 133 932 
750 168 815 31 353 977 254 
739 246 650 998 291 65 243 

306 79 281 940 300 744 713 
878 415 119 384 805 560 803 
709 413 455 460 581 271 211 
935 967 465 394 932 116 393 
225 899 355 531 979 355 191 
998 100 905 596 516 25 980 
322 305 784 750 718 959 929 

300 231 141 954 200 325 349 
133 161 461 77 61 817 328 
759 891 519 477 992 144 74 
228 888 56 269 194 559 20 
631 519 668 650 470 529 606 
389 573 674 241 453 855 319 
515 392 647 993 284 885 472 

995 31 265 224 919 321 493 
832 600 232 464 120 620 115 
309 150 440 698 442 834 659 
896 690 978 131 801 345 125 
86 231 316 83 980 582 26 
900 622 520 452 223 471 916 
344 92 751 372 960 910 72 

404 745 731 20 155 429 151 
956 774 276 762 724 312 564 
706 894 590 326 517 829 498 
741 302 134 804 113 885 177 
793 516 967 916 980 418 936 
137 847 88 812 341 83 294 
785 395 858 211 9 169 256 

